No,Portfolio Folder,Period,Client,Agency,Title,Tags,Source Path
11,11_202508_Galaxy S25 FE & Tab S11 Media Briefing,2025-08,Samsung Electronics MX,Cheil Worldwide,Galaxy S25 FE & Tab S11 Media Briefing,"Deck, Editorial Design, Graphic Design, Copywriting, Art Direction",삼성 MX/2025/S25FE_TabS11_BriefingDeck/01_DELIVERY/
12,12_202507_ITS - HERE Korean Paintings Abroad,2025-07,Overseas Korean Cultural Heritage Foundation,,IT'S — HERE : Korean Paintings Abroad,"Art Anthology, Book Design, Art Direction",기관/202507 국외중요한국회화도록/FIN
13,13_202507_Samsung B2B Integrated Offering - Reference Catalogue,2025-07~,Samsung Electronics B2B,Orca Creative,Samsung B2B Integrated Offering – Reference Catalogue,"Editorial Design, Branded Photography, Copywriting, Art Direction",삼성/B2B Ref Site/지난버전/output
14,14_202507_Genesis Road Trip - Gangneung,2025-07,Genesis,National Geographic Traveler Korea,Genesis Road Trip – Gangneung,"Branded Film, Branded Photography, Narrative, Creative Direction",제네시스/제네시스_2025/강릉편/1 운영안/output
15,15_202506_Coral In Focus - Giveaway Keychain,2025-06,Samsung Electronics,,Coral In Focus – Giveaway Keychain,"Merchandise, Sustainability, Package Design, Production Management",삼성 MX/etc/20250610 산호 키링 대량구매
16,16_202506_Genesis Road Trip - Yeosu,2025-06,Genesis,National Geographic Traveler Korea,Genesis Road Trip – Yeosu,"Branded Film, Branded Photography, Narrative, Creative Direction",제네시스/제네시스_2025/여수편/영상 final
17,17_202505_Galaxy S25 Edge Media Briefing,2025-05,Samsung Electronics MX,Cheil Worldwide,Galaxy S25 Edge Media Briefing,"Deck, Editorial Design, Graphic Design, 3D Graphic, Copywriting, Art Direction",삼성 MX/2025/S25Edge_BriefingDeck/01_DELIVERY/
18,18_202504_HIKE SEOUL - Brand Identity,2025-04,Seoul Metropolitan Government,Seoul Tourism Organization,HIKE SEOUL – Brand Identity,"Brand Identity, Verbal Identity, Graphic Design, Visual System",기관/20250411_STO_HIKE_SEOUL_BI/HIKE SEOUL BI_FINAL
19,19_202503_Coral In Focus - Carousel Post,2025-03,Samsung Electronics,Cheil Worldwide,Coral In Focus – Carousel Post,"Social Media Content, Sustainability, Illustration, Copywriting, Art Direction",삼성 MX/etc/202503_MX_Coral_Social/4 output
20,20_202501_Samsung Compressor 2025 Product Catalogue,2025-01,Samsung Electronics,,Samsung Compressor 2025 Product Catalogue,"Product Catalogue, Editorial Design, Art Direction",삼성/20250123_SamsungCompressorCatalogue/2025_SamsungCompressorCatalogue_FIN
21,21_202501_Galaxy S25 Unpacked Media Briefing,2025-01,Samsung Electronics MX,Cheil Worldwide,Galaxy S25 Unpacked Media Briefing,"Deck, Editorial Design, Graphic Design, Motion Graphic, Copywriting, Art Direction",삼성 MX/2025/S25_BriefingDeck/01_DELIVERY/
22,22_2024-2025_Korean Literature Now - Quarterly Magazine,2024-2025,Literature Translation Institute of Korea,ag communications,Korean Literature Now – Quarterly Magazine,"Quarterly Magazine, Editorial Design, Art Direction",기관/2024-2025 KLN/KLN 65호/5_output
23,23_202412_Seoul Medical Tourism - Promotion Film,2024-12,Seoul Metropolitan Government,Seoul Tourism Organization,Seoul Medical Tourism – Promotion Film,"Promotion Film, Narrative, Creative Direction",기관/20241215_STO 의료관광 영상
24,24_202412_Genesis Road Trip - Yeongwol,2024-12,Genesis,National Geographic Traveler Korea,Genesis Road Trip – Yeongwol,"Branded Film, Branded Photography, Narrative, Creative Direction",제네시스/제네시스_2024/202411_제네시스_스페셜/output
25,25_202411_Samsung B2B Integrated Offering - Vertical Catalogue,2024-11,Samsung Electronics B2B,Orca Creative,Samsung B2B Integrated Offering – Vertical Catalogue,"Editorial Design, Copywriting, Art Direction",삼성/20241105_SAMSUNG B2B_Intergrated_Offering_Vertical/10 FIN
26,26_202410_Galaxy Book5 Pro 360 & Tab S10 Experience Guide,2024-10,Samsung Electronics MX,Cheil Worldwide,Galaxy Book5 Pro 360 & Tab S10 Experience Guide,"Deck, Editorial Design, Graphic Design, Art Direction",삼성 MX/2024/TabS10_ExGuide/01_DELIVERY/
27,27_202409_Seoul My Soul Shop - Key Visual,2024-09,Seoul Metropolitan Government,Seoul Tourism Organization,Seoul My Soul Shop – Key Visual,"Graphic Design, Editorial Design, Motion Graphic, Web Design, Art Direction",기관/20241213_STO_SeoulMySoulShop_Goods_KV/__output
28,28_202409_Genesis Road Trip - Asan,2024-09,Genesis,National Geographic Traveler Korea,Genesis Road Trip – Asan,"Branded Film, Branded Photography, Narrative, Creative Direction",제네시스/제네시스_2024/202408_제네시스_아산
29,29_202407_Galaxy Z Fold6 _ Flip6 _ Galaxy Wearable Media Briefing,2024-07,Samsung Electronics MX,Cheil Worldwide,Galaxy Z Fold6 / Flip6 / Galaxy Wearable Media Briefing,"Deck, Editorial Design, Graphic Design, Copywriting, Art Direction",삼성 MX/2024/Fold6Flip6_BriefingDeck/01_DELIVERY/
30,30_202406_SBS Biz Forum - Galaxy AI Media Briefing,2024-06,Samsung Electronics MX,Cheil Worldwide,SBS Biz Forum – Galaxy AI Media Briefing,"Deck, Editorial Design, Graphic Design, Copywriting, Art Direction",삼성 MX/2024/AI_SBSBizAI/01_DELIVERY/
31,31_202405_Galaxy Book4 Edge Media Briefing,2024-05,Samsung Electronics MX,Cheil Worldwide,Galaxy Book4 Edge Media Briefing,"Deck, Editorial Design, Graphic Design, Copywriting, Art Direction",삼성 MX/2024/GB4Edge_BriefingDeck/01_DELIVERY/
32,32_202403_Galaxy S24 Media Briefing,2024-03,Samsung Electronics MX,Cheil Worldwide,Galaxy S24 Media Briefing,"Deck, Editorial Design, Graphic Design, Copywriting, Art Direction",삼성 MX/2024/S24_BriefingDeck/01_DELIVERY/
33,33_202403_Galaxy S24 Experience Guide Site,2024-03,Samsung Electronics MX,Cheil Worldwide,Galaxy S24 Experience Guide Site,"Web Design, Web Publishing, Art Direction",삼성 MX/2024/S24_ExGuide/01_DELIVERY/
34,34_202403_Galaxy Sustainability Media Briefing,2024-03,Samsung Electronics MX,Cheil Worldwide,Galaxy Sustainability Media Briefing,"Deck, Editorial Design, Graphic Design, Copywriting, Art Direction",삼성 MX/2024/Sustainability/01_DELIVERY/
35,35_202401_Galaxy AI Media Briefing,2024-01,Samsung Electronics MX,Cheil Worldwide,Galaxy AI Media Briefing,"Deck, Editorial Design, Graphic Design, Copywriting, Art Direction",삼성 MX/2024/AI_MediaBriefingDeck1_AI/01_DELIVERY/
36,36_202401_Galaxy Book4 Briefing Deck,2024-01,Samsung Electronics MX,Cheil Worldwide,Galaxy Book4 Briefing Deck,"Deck, Editorial Design, Graphic Design, Art Direction",삼성 MX/2024/GB4_BriefingDeck/01_DELIVERY/
